Sym,Price,PriceHis,DY%,DY,diffPrice/DY%,H52,L52,AvgPE,PE,Score,isSET100
MSC,6.15,"[6.1, 6.2, 6.25, 6.65, 6.65]",4.88,0.30,0.73,7.80,3.64,10.69,14.21,1.33,False
QLT,4.34,"[4.32, 4.26, 4.24, 4.24, 4.12]",5.76,0.25,-0.42,5.30,3.24,56.60,0,1.32,False
SMK,39.50,"[39.0, 38.25, 37.25, 37.75, 38.25]",5.57,2.20,-0.64,42.00,21.90,7.98,0,1.29,False
PSH,12.80,"[12.6, 12.7, 12.5, 12.4, 12.3]",5.08,0.65,-0.46,15.30,8.30,7.77,10.11,1.24,False
PAP,3.80,"[3.76, 3.76, 3.6, 3.62, 3.88]",4.74,0.18,-0.42,4.10,1.61,18.18,0,1.23,False
TIP,28.75,"[28.5, 28.25, 27.75, 27.75, 28.0]",4.52,1.30,-0.54,31.75,16.60,8.57,8.35,1.19,False
AMA,5.35,"[5.3, 5.3, 5.15, 5.45, 5.7]",3.74,0.20,0.15,6.55,2.72,19.87,16.27,1.17,False
UTP,17.60,"[17.5, 17.1, 18.2, 17.9, 18.9]",2.22,0.39,0.82,20.70,5.30,11.96,11.31,1.09,False
BDMS,20.00,"[19.9, 20.1, 19.9, 20.0, 20.0]",2.75,0.55,-0.04,23.70,15.60,29.17,0,1.08,True
XO,13.30,"[13.3, 13.2, 12.4, 12.7, 12.9]",3.31,0.44,-0.91,14.90,3.14,18.18,0,1.06,False
DRT,6.25,"[6.2, 6.05, 6.0, 5.95, 5.95]",3.52,0.22,-1.00,6.85,4.06,10.94,9.59,1.06,False
GFPT,11.90,"[11.8, 11.9, 12.2, 12.0, 12.5]",1.68,0.20,0.90,14.70,7.25,12.46,11.04,1.05,True
TU,14.00,"[13.9, 13.8, 13.8, 13.6, 13.4]",2.86,0.40,-0.75,16.30,10.20,13.28,0,1.03,True
TTW,11.90,"[11.8, 11.7, 11.7, 11.7, 11.7]",2.52,0.30,-0.60,14.30,11.00,14.35,0,1.01,True
SEAOIL,2.94,"[2.94, 2.94, 2.9, 2.96, 3.02]",0.25,0.01,1.62,3.34,1.36,11.83,0,1.00,False
SYNEX,17.10,"[16.6, 16.5, 16.7, 16.7, 17.3]",2.34,0.40,-0.85,18.80,3.60,13.09,0,0.97,False
SAAM,1.21,"[1.21, 1.21, 1.2, 1.22, 1.22]",1.07,0.01,0.15,1.29,0.53,11.65,0,0.95,False
STC,0.68,"[0.67, 0.66, 0.66, 0.67, 0.66]",2.35,0.02,-1.00,0.88,0.47,19.12,26.27,0.93,False
MAKRO,36.00,"[35.75, 35.75, 35.75, 35.75, 36.0]",1.67,0.60,-0.33,46.25,27.00,27.47,26.33,0.93,False
SONIC,2.78,"[2.78, 2.74, 2.7, 2.8, 2.46]",1.98,0.06,-1.53,3.04,0.75,11.71,0,0.88,False
TQM,121.00,"[121.0, 120.0, 119.5, 120.0, 121.5]",0.95,1.15,-0.52,149.00,42.75,30.59,0,0.88,True
SFT,4.74,"[4.72, 4.72, 4.64, 4.6, 4.76]",1.50,0.07,-0.73,5.10,3.66,28.10,26.68,0.88,False
BH,126.50,"[125.5, 128.5, 126.0, 124.5, 125.0]",1.62,2.05,-0.29,137.00,90.50,46.13,83.60,0.86,True
KIAT,0.57,"[0.55, 0.55, 0.55, 0.54, 0.57]",1.75,0.01,-1.80,0.65,0.21,9.93,11.22,0.82,False
BROCK,1.59,"[1.58, 1.52, 1.6, 1.55, 1.51]",1.26,0.02,-1.90,2.12,0.99,124.43,0,0.78,False
MEGA,39.75,"[39.5, 38.5, 37.25, 36.5, 37.5]",1.36,0.54,-3.52,43.00,17.90,20.17,0,0.65,True
THG,26.00,"[25.25, 24.7, 24.7, 24.6, 24.7]",1.15,0.30,-4.03,27.00,15.00,71.11,0,0.59,False
NDR,2.06,"[1.78, 1.74, 1.72, 1.71, 1.76]",2.43,0.05,-6.36,2.24,0.74,14.91,0,0.50,False
TNP,4.50,"[4.3, 4.1, 4.06, 4.0, 4.08]",0.89,0.04,-9.80,4.58,1.60,24.99,26.89,0.03,False
